nome;estoqueAtual;gtin;valorCusto;valorVenda;unidade;codigoNCM
ACAI NO PALITO ;20;151;2,75;4;UN (UNIDADE);02102000
ACUCAR DEMERARA;2,328;326;7,3;13.99;KG (QUILO);02102000
ACUCAR MASCAVO ;1,37;110;6,6;15,99;KG (QUILO);02102000
AGUA SEM GAS ;0;7898386200083;0,89;1,99;UN (UNIDADE);02102000
AGUARDENTE ALEMA EM GARRAFA ;2;14990;2,5;9,99;UN (UNIDADE);02102000
ALFINIM DO CEAR�;4;7890483574043;4,5;8,99;UN (UNIDADE);02102000
ALHO C/ PIMENTA;5;7898618748611;13,8;19,99;UN (UNIDADE);02102000
ALHO PICADO ;0;7896118718509;2,5;3,99;UN (UNIDADE);02102000
ALHO SAND 100G;9;7896118718288;3,4;4,99;UN (UNIDADE);02102000
ALHO SAND 200G;7;7896118718394;7;9,99;UN (UNIDADE);02102000
AMANTEIGADO DE COCO MANU;0;751320952479;6;8,99;UN (UNIDADE);02102000
AMANTEIGADO DE LEITE CONDENSADO TATA BISCOITOS;0;7893595129705;6;8,99;UN (UNIDADE);02102000
AMANTEIGADO DE LIMAO MANU;0;619205397251;5,5;8,99;UN (UNIDADE);02102000
AMANTEIGADO DE NATA MANU;0;751320952509;6;8,99;UN (UNIDADE);02102000
AMBROSIA ;0;7898158941114;15;22,99;UN (UNIDADE);02102000
AMBROSIA DELICASSIS 400G;2;7898706370601;18,84;23,99;UN (UNIDADE);02102000
AMEIXA SEM CARO�O ;1,786;119;31,2;49,99;KG (QUILO);02102000
AMENDOIM CARAMELADO COM COCO ;12;7890281038105;4,33;6,99;UN (UNIDADE);02102000
AMENDOIM CARAMELADO COM GERGELIM;1;7890281038006;4,33;6,99;UN (UNIDADE);02102000
AMENDOIM CAVALO;3,234;53;6,6;15,99;KG (QUILO);02102000
AMENDOIM DOCE;1,092;338;17;29,99;KG (QUILO);02102000
AMENDOIM OVINHO ;0,212;339;17;29,99;KG (QUILO);02102000
AMENDOIM PICANTE;0,546;340;16;29,99;KG (QUILO);02102000
AMENDOIM SALSA E CEBOLA ;1;342;16;29,99;KG (QUILO);02102000
AMENDOIM TORRADO C/SAL ;3,458;55;8;16,99;KG (QUILO);02102000
AMENDOIM TORRADO COM CASCA ;0;33;10,77;16,99;KG (QUILO);02102000
AMENDOIM TORRADO S/ SAL ;2,506;54;8;16,99;KG (QUILO);02102000
AMENDOIM VERMELHO;2,078;52;24;34,99;KG (QUILO);02102000
ANIS ESTRELADO;5;442;1,66;2,7;UN (UNIDADE);02102000
ANTI GRIPAL XAROPE ;2;89835;7;9,99;UN (UNIDADE);02102000
ANTIGRIPAL FARAMEL ;6;7896521462563;5;9,99;UN (UNIDADE);02102000
AVEIA EM  FLOCOS;9,928;61;5,12;19,99;KG (QUILO);02102000
AZEITE CAROLINA REAPER;2;7898618748635;9,5;15,99;UN (UNIDADE);02102000
AZEITE DE DENDE ;4;7898994479116;4,25;7,99;UN (UNIDADE);02102000
AZEITE DE DENDE 500ML;3;7898994479123;8;15,99;UN (UNIDADE);02102000
AZEITE DE DENDE 960ML;0;7898903301156;17;23,99;UN (UNIDADE);02102000
AZEITE DE DENDE KIDENDE ;0;7898903301255;4;7,99;UN (UNIDADE);02102000
BACALHAU DA NORUEGA ;0;820;62,5;89,99;KG (QUILO);02102000
BACON SADIA ;3,78;68;26,89;38,99;KG (QUILO);02102000
BALA DE GOMA ;0;139;13,5;29,99;KG (QUILO);02102000
BANANADA ;0;7898904642609;9,35;13,99;UN (UNIDADE);02102000
BANANADA ;0;7897977909954;5,85;10,99;UN (UNIDADE);02102000
BANANADA  NATURAL YES;1;7898969909020;8,5;13,99;UN (UNIDADE);02102000
BANANADA C/ UVAS PASSAS YES;0;7898969909082;8,5;13,99;UN (UNIDADE);02102000
BANANADA C/AMEIXA YES;0;7898969909112;8,5;13,99;UN (UNIDADE);02102000
BANANADA COM AMEIXA ;1;7898904642616;9,35;13,99;UN (UNIDADE);02102000
BANANADA COM CUPUA�U;0;7898904642685;9,35;13,99;UN (UNIDADE);02102000
BANANADA CREMOSA ;0;7898963394013;0,85;1,49;UN (UNIDADE);02102000
BANANADA CRISTALIZADAS;1;7898229190120;8;11,99;UN (UNIDADE);02102000
BANANADA SEM ACUCAR ZELIA ;14;751320023421;9,28;13,99;UN (UNIDADE);02102000
BANANINHA TRADICIONAL OLIVEIRA ;21;7896202892160;1,65;2,49;UN (UNIDADE);02102000
BARBATIMAO EM CASCA;0,954;581;17;39,99;KG (QUILO);02102000
BARRA DE FRUTA AMEIXA;21;7891331002886;1,96;2,49;UN (UNIDADE);02102000
BEIJU TRADICIONAL;0;7895099216516;5,8;9,99;UN (UNIDADE);02102000
BEIJU TRADICIONAL;8;7732594257951;5,8;9,99;UN (UNIDADE);02102000
BELISCAO TATABISCOITOS ;0;7893595129934;6,6;8,99;UN (UNIDADE);02102000
BICARBONATO EM PO ;5,892;108;6;14,99;KG (QUILO);02102000
BIG LANCHE ;2;7890483574081;10,95;19,99;UN (UNIDADE);02102000
BISCOITO 7 CAPAS BOM CAFE SAL;6;7898671030036;6,4;9,99;UN (UNIDADE);02102000
BISCOITO 7 CAPAS XIQUE XIQUE ;0;736532118172;6;9,99;UN (UNIDADE);02102000
BISCOITO AGUA E SAL 3 MAIO;1;7898008913209;6,5;7,49;UN (UNIDADE);02102000
BISCOITO BOM CAFE;1;7898671030043;6,4;9,99;UN (UNIDADE);02102000
BISCOITO BROA DE COCO SAO BENEDITO;10;7897053100268;6,75;9,99;UN (UNIDADE);02102000
BISCOITO BROA DE MILHO SAO BENEDITO;4;7897053100084;6,75;9,99;UN (UNIDADE);02102000
BISCOITO DE ARROZ INTEGRAL DELICASSIS ;1;7896181712084;7,53;9,99;UN (UNIDADE);02102000
